app_id,title,release_date,release_year,game_age_years,age_bucket,genres_clean,main_genre,categories_clean,developer,publisher,original_price_clean,discount_pct_clean,discounted_price_clean,final_price,is_free_to_play,is_on_sale,dlc_available,has_dlc,age_rating,age_rating_category,win_support,mac_support,linux_support,multi_platform,awards,is_early_access,overall_review,overall_review_pct,overall_review_count,log_overall_review_count,recent_review,recent_review_pct,recent_review_count,log_recent_review_count
2560870,The Specter's Desire,2024-05-24,2024.0,0.6050650239561944,<1y,indie,indie,"single-player, commentary available, remote play together, family sharing, steam is learning about this game",Themisian,Themisian,,,880.0,880.0,False,False,0,False,0,All Ages,True,True,False,True,0,False,,,,0.0,,,,0.0
2800770,Gnomber,2024-04-28,2024.0,0.676249144421629,<1y,action;indie,action,"single-player, steam achievements, steam cloud, family sharing, steam is learning about this game",LisiSoft,LisiSoft,,,155.0,155.0,False,False,0,False,0,All Ages,True,True,False,True,0,False,Mixed,60.0,10.0,2.3978952727983707,,,,0.0
2700250,Dodo,2024-04-15,2024.0,0.7118412046543463,<1y,strategy,strategy,"single-player, family sharing, steam is learning about this game",ThreeByFour Games,ThreeByFour Games,,,155.0,155.0,False,False,0,False,0,All Ages,True,True,False,True,0,False,,,,0.0,,,,0.0
2412200,Cthulhu's Reach: Devil Reef,2024-04-14,2024.0,0.7145790554414785,<1y,action;adventure;indie;early access,action,"single-player, online co-op, steam cloud, family sharing, steam is learning about this game",The Fine Arc,The Fine Arc,,,480.0,480.0,False,False,0,False,0,All Ages,True,False,False,False,0,True,Positive,100.0,16.0,2.833213344056216,,,,0.0
2881360,Bloody Heaven 2 ：Prologue,2024-04-10,2024.0,0.7255304585900069,<1y,action;indie;rpg;free to play,action,"single-player, steam is learning about this game",ShaneGame,ShaneGame,,,0.0,0.0,True,False,0,False,0,All Ages,True,False,False,False,0,False,Mostly Positive,70.0,10.0,2.3978952727983707,,,,0.0
2826120,Lost Lands: Stories of the First Brotherhood Collector's Edition,2024-03-28,2024.0,0.7611225188227242,<1y,adventure;casual,adventure,"single-player, steam achievements, steam cloud, family sharing, steam is learning about this game",FIVE-BN GAMES,FIVE-BN GAMES,,,480.0,480.0,False,False,0,False,0,All Ages,True,False,False,False,0,False,,,,0.0,,,,0.0
1775490,Slice & Dice,2024-03-20,2024.0,0.783025325119781,<1y,casual;indie;rpg;strategy,casual,"single-player, steam cloud, includes level editor, family sharing",Tann,Tann,,,450.0,450.0,False,False,0,False,0,All Ages,True,True,True,True,0,False,Overwhelmingly Positive,97.0,1140.0,7.039660349862076,Overwhelmingly Positive,96.0,198.0,5.293304824724492
2708450,Oh Deer,2024-03-15,2024.0,0.7967145790554415,<1y,action;casual;indie;early access,action,"online pvp, online co-op, steam achievements, steam cloud, stats, family sharing",Cozy Cabin Studios,Cozy Cabin Studios,480.0,25.0,360.0,360.0,False,True,0,False,0,All Ages,True,False,False,False,0,True,Very Positive,85.0,610.0,6.415096959171596,Very Positive,86.0,80.0,4.394449154672439
2007770,Corrupted: Dawn of Havoc,2024-03-11,2024.0,0.8076659822039699,<1y,indie;rpg;simulation;strategy;early access,indie,"single-player, family sharing, profile features limited",36Litters,36Litters,,,690.0,690.0,False,False,0,False,0,All Ages,True,False,False,False,1,True,Mostly Positive,75.0,60.0,4.110873864173311,,,,0.0
2541210,Eldgear,2024-03-07,2024.0,0.8186173853524983,<1y,rpg;simulation;strategy,rpg,"single-player, steam achievements, steam cloud, family sharing","MCF Co.,Ltd.",KEMCO,,,880.0,880.0,False,False,4,True,0,All Ages,True,False,False,False,0,False,,,,0.0,,,,0.0
2690610,XELAN FORCE,2024-02-13,2024.0,0.8815879534565366,<1y,action;indie,action,"single-player, family sharing, profile features limited","PIXEL CO., LTD","PIXEL CO., LTD",,,450.0,450.0,False,False,0,False,0,All Ages,True,False,False,False,0,False,Positive,91.0,12.0,2.5649493574615367,,,,0.0
553850,HELLDIVERS™ 2,2024-02-08,2024.0,0.8952772073921971,<1y,action,action,"online co-op, steam achievements, in-app purchases, family sharing",Arrowhead Game Studios,PlayStation PC LLC,,,2499.0,2499.0,False,False,0,False,1,7+,True,False,False,False,1,False,Mostly Positive,73.0,638846.0,13.367420268070427,Mixed,66.0,328633.0,12.702699948496273
2580210,SCP: Rulebreaker,2024-01-29,2024.0,0.922655715263518,<1y,adventure;indie;early access,adventure,"single-player, steam achievements, profile features limited",Pixeleur,Pixeleur,,,0.0,0.0,True,False,0,False,0,All Ages,True,False,False,False,0,True,Mixed,50.0,52.0,3.970291913552122,,,,0.0
2739620,Sleeping With Sakuya Izayoi,2024-01-12,2024.0,0.969199178644764,<1y,casual,casual,"single-player, profile features limited",Sigyaad Team,Sigyaad Team,,,0.0,0.0,True,False,1,True,0,All Ages,True,False,False,False,0,False,Very Positive,95.0,175.0,5.170483995038151,Very Positive,92.0,28.0,3.367295829986474
